rsrp_dbm,rsrq_db,sinr_db,rssi_dbm,channel_state_info,doppler_spread_hz,delay_spread_ns,coherence_bandwidth_hz,interference_power_dbm,adjacent_channel_power,spurious_emissions,intermodulation_distortion,power_spectral_density,autocorrelation_peak,cross_correlation,signal_entropy,iq_imbalance_magnitude,dc_offset_i,dc_offset_q,phase_noise_integrated,spectral_centroid,spectral_rolloff,spectral_flux,zero_crossing_rate,signal_complexity,hurst_exponent,fractal_dimension,scenario,binary_label,timestamp
-58.506138408429116,23.486116108183985,33.86400171707799,-58.50435481872351,1.7392180384956009,88.22727841416612,129.3019615193604,1230878.025528368,-92.3701401255071,-6.335232111882314,-71.62204385214325,-72.62348871622187,-33.164295425765104,0.7834041613520808,0.8109953964747219,5.339725240438325,0.057998696017144115,-0.002991127127067547,0.0036569506147851767,-84.31402663590427,2759584570.306412,2761696670.5675497,0.21729472097169777,0.11924805364862255,0.5004690909164533,0.6815233319868395,1.3065836537014743,normal,0,2025-01-01 00:00:00.000
-65.39317645593472,22.19988066956256,32.577766278456565,-65.39077824285492,5.406554181131471,14.031054534748652,93.9277024103109,1694440.926454772,-97.97094273439129,-6.5185838924623996,-80.06857532575735,-61.5484736937058,-31.88280682741449,0.7597616818208754,0.8593898924210814,3.6315376036003144,0.41845121914554534,-0.004748931484393683,0.0012177005880873416,-84.74491835372842,5474336883.192968,5502907684.444429,0.14033536482285056,0.34838820959979105,0.7333514966940144,0.48005916098310136,1.7669982944601603,normal,0,2025-01-01 00:00:00.100
-58.68531451953471,26.98481462025253,37.36270022914653,-58.68451748996073,5.616800992266133,42.48120136520189,28.2513078000101,5633542.497166748,-96.04801474868124,-5.650653924511663,-100.45392582650072,-91.30165982808387,-36.17701150535272,0.6611168849693593,0.8182624260509961,5.606054271012417,0.49614319843761573,-0.008145094849639954,-0.010826128951719152,-82.74310633336965,2519263767.0128217,2524471633.3978276,0.15528873029644158,0.20670108422516167,0.5158222209600414,0.3573813800498089,1.6277705630373458,normal,0,2025-01-01 00:00:00.300
-55.764589757147945,28.124129371269618,38.50201498016362,-55.76397662772664,5.188794428238438,127.74144297070349,192.47214473463535,826898.5795909584,-94.26660473731157,-1.1439935236658432,-98.52239225136859,-51.703008727821754,-32.72107334507097,0.34606084624242267,0.9370133836523322,6.092783641775286,0.04353862697854386,-0.003348961518343847,-0.025458601040875488,-78.75303126630324,4657364757.316601,4662801140.815395,0.018823851389282217,0.4999475434159205,0.8846376291969857,0.5350354845492896,1.2749215102205063,normal,0,2025-01-01 00:00:00.400
-73.98556447967748,8.287865618676593,18.665751227570595,-73.92691375909335,4.989664841220023,6.076024024383861,121.46547119158403,1310289.5953111215,-92.65131570724807,-2.2565794294116808,-81.7387557427713,-74.68132149622303,-34.16179242319337,0.741418348113059,0.7498424848741143,5.347026628420562,0.4836106940683698,0.013153911186508936,-0.0059965879790483305,-89.66989694481205,4260631895.0674605,4277669818.650867,0.04958476618807306,0.2482790313569293,0.8163489486303813,0.30474842818441095,1.7951420975356143,normal,0,2025-01-01 00:00:00.600
-65.27549774200666,16.25616194660239,26.634047555496394,-65.26608082755766,2.9020855189031676,40.490196541507224,24.753586002135528,6429571.177209024,-91.90954529750306,-5.025538860374167,-88.04824982733831,-71.40071961841001,-26.92936219356525,0.504171100057968,0.9272008926805959,6.254695604291424,0.48709699962258374,0.0004167695190116364,-0.008083825755588253,-82.34716453578567,5017749257.010214,5060070936.297269,0.6902300257670544,0.3923643304378934,0.587166848212905,0.6635959114173995,1.6846980070865754,normal,0,2025-01-01 00:00:00.700
-70.8860418382486,15.048142982145622,25.426028591039625,-70.87360930363099,5.92447224461062,67.92579508971843,99.47494050230564,1599950.1209875708,-96.31207042928823,-1.8365940563832923,-92.17455156737938,-65.25299591994614,-21.862764877480217,0.8947603850745465,0.8281203607316958,5.102165969416774,0.4808398976531509,0.005011116288246031,0.004030164292091285,-78.93534958189349,3646575678.306284,3656170414.8203087,0.07195786279956017,0.4263341393272271,0.44847317129021586,0.3854446460903907,1.566139690966367,normal,0,2025-01-01 00:00:00.800
-49.476988935002225,36.0707052040202,46.448590812914205,-49.476890551945715,2.716542811789832,10.40999827318479,11.602369420376943,13717451.782941474,-95.92557974791643,-9.31476221522465,-97.03054346376243,-90.40300649440925,-33.81720871397636,0.7157158005093909,0.8190306101614577,6.224076531390085,0.23526733257935828,-0.011351348958128263,0.0054126930879083365,-80.15090942128501,3447386084.833699,3457431577.4297185,0.14142525184655927,0.10129556548486218,0.4747348242454699,0.3385117231738377,1.3603859877307634,normal,0,2025-01-01 00:00:01.000
-68.45125658375885,13.945280308337404,24.323165917231407,-68.43523643789399,3.1469704777636753,6.129801246253465,44.8566948954744,3548075.565147188,-92.77442250099026,-8.711331702174741,-84.7412070168509,-83.71371903239253,-28.688711970205222,0.7375756503886122,0.9192091427437827,5.1320767765761754,0.3807349669348478,-0.007031495696965713,-0.003919132292171069,-88.47463143652273,2912075499.369685,2916722806.1995745,0.4346449846198872,0.2319648878683936,0.5351926475082418,0.31002128165797294,1.4309137050664225,normal,0,2025-01-01 00:00:01.100
-62.486526075687514,20.076829887383745,30.45471549627775,-62.482616611188206,2.843270792053338,102.51923739076871,33.552662069531685,4743437.130623978,-92.94124157196526,-3.8395200277845523,-79.25587768452914,-65.821609259577,-30.83076878540694,0.623358934600982,0.8525050911559459,6.367632742326752,0.26970163947419384,0.001196482760251002,-0.002334427182494368,-79.34852128547254,2968924440.3585,2998835798.911515,1.0858093758721916,0.23097749973423365,0.8972023592115054,0.3188373842192543,1.3433234710713315,normal,0,2025-01-01 00:00:01.200
-36.33964598267991,49.73816714555966,60.11605275445366,-36.33964175425304,21.43107222236647,72.62095643481057,33.357306970062695,4771216.790214291,-96.45569873713357,-5.806199228791607,-103.31482255919268,-62.01771270512431,-37.19911891221504,0.46193210204012425,0.8906370579894017,6.928510293926571,0.32297775880076013,0.0031996173285709505,-0.02185003998247391,-79.02161421153549,4589577762.783612,4593993731.796012,1.2207853295720932,0.3963133210692509,0.7456004858189953,0.4626525367977774,1.297737462480191,normal,0,2025-01-01 00:00:01.300
-77.6129198302981,7.074308681811361,17.452194290705364,-77.53552898438286,4.252689628958559,45.68726371759834,68.1600939157798,2335016.4876320576,-95.06511412100346,-9.276499142291936,-114.54740585057992,-69.5491685284082,-31.982446852656885,0.5045674727773461,0.9265829819104429,6.285086899841803,0.49607603919313376,0.010442262316491589,0.005450132046147381,-88.31383347668482,2926911974.960429,2933767854.5581903,0.1738917098139384,0.3744739900395031,0.7197891756814812,0.39449638810260557,1.3703906159348034,normal,0,2025-01-01 00:00:01.500
-58.34741930485512,30.03558352055532,40.413469129449325,-58.347024468025204,2.6290078870490543,57.090002439965915,180.29207704910135,882761.7147510622,-98.76088843430445,-9.664270876478424,-113.94598453464536,-56.81695019980643,-33.320861028793246,0.5070474437620437,0.8914025284585683,5.353105101190207,0.3413984034736324,-0.01016411611154448,0.0036150269640154776,-76.49921788649489,5775276902.399087,5784722706.340813,0.4272024110419094,0.29025251028034416,0.8760571916514164,0.6527181587625357,1.3245561713161025,normal,0,2025-01-01 00:00:01.900
-64.0274659096757,23.682229461840706,34.06011507073471,-64.02576105423978,4.226639381099232,39.2637350347961,93.26600322887222,1706462.5649426992,-98.08758098041041,-5.441352704802092,-91.36650555955765,-67.39368638323472,-29.12776469600884,0.8108431802622702,0.8820265556639836,6.970155098289434,0.4836197444604462,0.0026668966687862774,0.0019614295541702936,-82.90075197163549,4529955422.370336,4533549822.691231,0.9852435596077826,0.24189437074153905,0.8979179456590548,0.4292980844433482,1.5423750188374434,normal,0,2025-01-01 00:00:02.100
-45.88141180410878,37.71151248203432,48.08939809092833,-45.88134437597639,3.4061937126167603,97.48533192710788,143.79289816292825,1106834.5177350882,-93.9708098950371,-1.241006653467605,-96.56086534457188,-45.419150017925446,-27.54741655394895,0.7454268221462953,0.8132264993272251,5.2384047230942805,0.4117373438756656,-0.008892764441382572,0.00754273734299275,-84.2279370843952,3070672620.894652,3078514149.909121,0.39620738206169664,0.19284471952631238,0.6344150842068018,0.5151338250069006,1.4031996648362888,normal,0,2025-01-01 00:00:02.300
-59.23001068848711,31.340537765436082,41.71842337433009,-59.22971832215759,5.163384062942744,0.4396322036063332,38.78464540870258,4103555.451255558,-100.9484340628172,-7.420139771643339,-82.26449396243791,-63.95313282335935,-16.90249962917052,0.4371306801818902,0.9475358991483164,6.736875663165931,0.40263060626147096,0.0005032237039612115,-0.009332548178525588,-86.7719456579058,3359790932.9359884,3365724759.8802934,1.3048656823208937,0.48718395534520853,0.5717965976639956,0.613276516131774,1.223485002029772,normal,0,2025-01-01 00:00:02.400
-60.40214819121529,29.985854676147582,40.36374028504159,-60.401748807536094,3.1138154248344687,35.73400629998386,58.97861682906208,2698519.423627289,-100.76588847625688,-1.1893700211872649,-82.10242803603018,-82.64071168655488,-24.462588752528386,0.9083630797896125,0.8863273934703697,4.434565832718015,0.3648542926102352,0.02191021341265488,-0.007815481269210913,-93.7702470529383,4685930446.818704,4702715426.937584,1.9425441764466789,0.329926327450601,0.7571734932495693,0.4664263923230032,1.765277736876298,normal,0,2025-01-01 00:00:02.500
-72.32503466694328,8.690036114048938,19.06792172294294,-72.27153948923684,1.6413971932986184,2.6035895364182307,10.007670603199294,15903295.522238312,-91.39295638988622,-2.7566535509284096,-79.97399147774414,-84.62573752180218,-27.865686306344596,0.37294721394950553,0.8091665752741857,6.616605008577496,0.04271245483540543,0.01617568081919405,-0.0022783178390611046,-85.4616570002451,5552333044.940425,5582728999.066475,0.3967592180894181,0.2352178465066687,0.5251030388136135,0.3296559834354254,1.2499458340849254,normal,0,2025-01-01 00:00:02.700
-66.73273751664388,15.716649734156691,26.094535343050694,-66.72207652462191,3.770731010926684,105.06661910243763,110.76574943048408,1436860.6172053216,-92.82727285969457,-8.041790610542732,-69.6965851525544,-66.68283845303503,-17.572912973282385,0.9385192075483413,0.7012117953050041,3.7817190625509585,0.25066724790590106,0.0033522939136343562,0.0024906833940363865,-96.32722617731558,3159968924.7184153,3195396891.1342754,0.005030342403506065,0.21558784871623762,0.45444370946641666,0.4262488826615776,1.5940902292155517,normal,0,2025-01-01 00:00:03.000
-38.817585313238794,42.4309459447535,52.80883155364751,-38.81756256750152,2.093573223645882,24.595899745136315,33.221494140112206,4790722.0072841,-91.6264168668863,-2.6623133487667583,-97.17513740902325,-79.57684652106275,-32.14831898861075,0.843284921516152,0.8002870985954273,5.3187053765885555,0.21273343383318513,0.015512577664452066,0.00014268737571862267,-90.55330818134713,5403211587.967839,5412321967.873906,0.3250224678661628,0.4547729939864572,0.4566393340735664,0.5834743556911588,1.7557411728972765,normal,0,2025-01-01 00:00:03.200
-81.09139876016232,5.0314408663794,15.409326475273403,-80.96818018890625,0.6243817983208635,114.17456988251095,311.299817943959,511259.35165354586,-96.50072523543572,-5.135907832522587,-117.26589799961697,-94.33070161476914,-38.58042886595926,0.49306955252756,0.9466348584244546,4.020453169862981,0.41965340455483324,-0.004421928586657464,0.005364934239331011,-77.02620774008568,3983447928.0128946,4019693056.826445,0.7579464993328014,0.1222132689293347,0.6505500652445295,0.3171282157969117,1.2699052293856177,normal,0,2025-01-01 00:00:03.300
-54.92051664395858,28.207202709414403,38.58508831830841,-54.91991513042447,3.484991835385277,56.35151042664765,182.0085867288855,874436.4535337432,-93.50560496226699,-7.658576027201288,-80.99035728889224,-68.00751601160317,-32.00664331640636,0.3779392872024453,0.9495085838204222,4.069365666736308,0.21564445152942446,0.016355874434202583,-0.004568244439424679,-85.72951943363795,4018990519.496818,4048219178.583243,0.3931970183739333,0.32158645846402467,0.7159435749401626,0.4112758752192871,1.6810616964245497,normal,0,2025-01-01 00:00:03.400
