iter	Passed	Remaining
0	321	128102
1	643	128021
2	961	127186
3	1276	126370
4	1595	126043
5	1909	125420
6	2222	124762
7	2540	124464
8	2854	124000
9	3168	123577
10	3482	123139
11	3800	122892
12	4115	122524
13	4429	122134
14	4746	121839
15	5061	121473
16	5375	121108
17	5693	120836
18	6008	120479
19	6323	120154
20	6643	119902
21	6960	119585
22	7277	119283
23	7593	118970
24	7910	118660
25	8229	118380
26	8548	118092
27	8861	117734
28	9174	117364
29	9490	117046
30	9806	116726
31	10124	116427
32	10439	116105
33	10756	115793
34	11071	115458
35	11387	115141
36	11701	114796
37	12031	114613
38	12355	114366
39	12377	111397
40	12702	111226
41	13025	111026
42	13347	110811
43	13665	110567
44	13981	110297
45	14300	110051
46	14621	109819
47	14937	109540
48	15253	109263
49	15570	108995
50	15886	108713
51	16202	108429
52	16517	108141
53	16836	107877
54	17154	107602
55	17468	107304
56	17782	107005
57	18104	106751
58	18420	106463
59	18734	106159
60	19053	105886
61	19369	105592
62	19685	105303
63	20001	105008
64	20313	104693
65	20632	104413
66	20949	104120
67	21268	103839
68	21587	103555
69	21900	103244
70	22214	102936
71	22532	102647
72	22851	102362
73	23175	102097
74	23499	101833
75	23815	101529
76	24131	101227
77	24445	100916
78	24759	100603
79	25075	100302
80	25388	99988
81	25706	99691
82	26025	99398
83	26339	99085
84	26653	98773
85	26970	98474
86	27283	98157
87	27601	97858
88	27919	97560
89	28229	97236
90	28542	96918
91	28856	96605
92	29171	96298
93	29492	96007
94	29829	95769
95	30164	95519
96	30495	95260
97	30841	95041
98	31165	94756
99	31483	94449
100	31800	94142
101	32119	93838
102	32435	93527
103	32750	93212
104	33064	92894
105	33380	92582
106	33695	92267
107	34011	91957
108	34328	91647
109	34646	91340
110	34959	91021
111	35273	90704
112	35587	90385
113	35902	90071
114	36218	89759
115	36537	89454
116	36853	89142
117	37169	88829
118	37481	88506
119	37804	88210
120	38114	87884
121	38431	87573
122	38748	87262
123	39075	86973
124	39400	86681
125	39714	86364
126	40030	86050
127	40342	85728
128	40663	85423
129	40979	85110
130	41291	84788
131	41605	84471
132	41922	84159
133	42246	83861
134	42569	83562
135	42900	83276
136	43225	82980
137	43547	82677
138	43874	82382
139	44192	82072
140	44523	81784
141	44844	81478
142	45174	81188
143	45498	80885
144	45823	80586
145	46153	80294
146	46486	80006
147	46806	79697
148	47135	79402
149	47461	79101
150	47784	78796
151	48108	78493
152	48444	78207
153	48769	77904
154	49096	77604
155	49424	77304
156	49747	76997
157	50077	76700
158	50398	76390
159	50714	76072
160	51030	75753
161	51346	75435
162	51667	75123
163	51984	74806
164	52298	74485
165	52610	74162
166	52926	73843
167	53241	73523
168	53556	73203
169	53878	72894
170	54193	72575
171	54510	72257
172	54827	71941
173	55142	71622
174	55457	71302
175	55776	70987
176	56092	70670
177	56407	70350
178	56723	70033
179	57040	69715
180	57361	69403
181	57677	69086
182	57993	68768
183	58312	68454
184	58629	68136
185	58941	67814
186	59259	67498
187	59579	67185
188	59895	66867
189	60212	66550
190	60530	66234
191	60845	65916
192	61164	65600
193	61478	65281
194	61791	64960
195	62106	64640
196	62423	64325
197	62745	64012
198	63060	63694
199	63377	63377
200	63692	63058
201	64010	62742
202	64326	62425
203	64641	62106
204	64961	61792
205	65273	61471
206	65589	61153
207	65904	60835
208	66219	60516
209	66531	60195
210	66845	59875
211	67166	59562
212	67482	59245
213	67795	58924
214	68113	58609
215	68430	58292
216	68745	57974
217	69059	57655
218	69374	57336
219	69687	57016
220	70005	56701
221	70320	56382
222	70634	56064
223	70947	55744
224	71259	55424
225	71579	55110
226	71904	54799
227	72234	54492
228	72569	54189
229	72902	53884
230	73229	53574
231	73587	53287
232	73914	52977
233	74246	52670
234	74566	52355
235	74895	52045
236	75215	51730
237	75536	51415
238	75851	51096
239	76163	50775
240	76481	50458
241	76798	50141
242	77114	49823
243	77430	49504
244	77749	49188
245	78068	48872
246	78383	48553
247	78697	48234
248	79013	47915
249	79329	47597
250	79644	47278
251	79959	46960
252	80280	46645
253	80596	46326
254	80914	46010
255	81231	45692
256	81545	45373
257	81865	45057
258	82182	44740
259	82497	44421
260	82815	44104
261	83132	43787
262	83452	43471
263	83785	43162
264	84101	42843
265	84415	42525
266	84734	42208
267	85050	41890
268	85361	41569
269	85675	41251
270	85994	40934
271	86307	40615
272	86626	40298
273	86944	39981
274	87258	39663
275	87574	39344
276	87889	39026
277	88206	38709
278	88523	38391
279	88842	38075
280	89158	37757
281	89478	37441
282	89802	37126
283	90131	36814
284	90475	36507
285	90808	36196
286	91127	35879
287	91443	35561
288	91757	35242
289	92069	34922
290	92385	34604
291	92698	34285
292	93014	33967
293	93332	33650
294	93649	33332
