f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,label
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,-27.1,1.0,27.0,4.9,normal
1.0,477.0,15.0,1.0,27.0,3.7,2.0,0.0,0.0,0.0,28.6,-27.0,1.0,27.0,4.9,normal
1.0,477.0,15.0,1.0,27.0,3.7,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,-27.0,1.0,27.0,4.9,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,-27.2,1.0,27.0,15.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,-27.1,1.0,27.0,4.9,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,-27.1,1.0,27.0,15.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,24.0,1.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,24.0,1.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,-27.1,1.0,27.0,4.9,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,-27.0,1.0,27.0,9.7,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,-27.1,1.0,27.0,4.9,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,-27.0,1.0,27.0,9.7,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,-27.0,1.0,27.0,9.7,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,-27.0,1.0,27.0,9.7,normal
1.0,477.0,15.0,1.0,27.0,3.7,2.0,0.0,0.0,0.0,29.4,-27.0,1.0,27.0,9.7,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,27.0,6.5,4.0,0.0,0.0,0.0,27.6,-27.0,1.0,27.0,4.9,normal
1.0,477.0,15.0,1.0,27.0,3.7,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,-27.0,1.0,27.0,4.9,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,-27.1,1.0,27.0,4.9,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,-27.1,1.0,27.0,4.9,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,-27.1,1.0,27.0,4.9,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,-27.1,1.0,27.0,4.9,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
1.0,477.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,normal
